wetland,station,sitecode,event,date,fluxrate,wl_cm,wl_delta1,wl_change1,wl_delta7,wl_change7,air_temp_C,DEWP,STP_kPa,precip_mm,snow_mm,RH,water_temp_C,precip_sum2,precip_sum3,precip_sum4,ice_cover,soil_temp,vwc,dist_m,rel_elev_m,afp,wfps,wfps_interp,inundated,log_flux,cuberoot,flux_cat
BB,SC-A,BB SC-A,01,2017-10-17,3.35982127,-5.21400579860122,-2.2404593722526203,falling,-0.8906769217500496,falling,9.6,3.2,2.42,0.8,NA,64.4,13.882000000000001,3.8,4.3,5.8,NA,NA,NA,-5.7212173827321635,0.0030479999999999353,NA,NA,69.91136900055602,FALSE,1.2266598764320542,1.4977479197076822,non-inundated source
BB,SC-B,BB SC-B,01,2017-10-17,0.39314368,-8.893470332271699,-2.291729780177839,falling,-1.1556869223651987,falling,9.6,3.2,2.42,0.8,NA,64.4,13.882000000000001,3.8,4.3,5.8,NA,NA,NA,-4.847153860211458,0.05791200000000012,NA,NA,68.56959939336768,FALSE,-0.8138612274361525,0.7325721983451148,non-inundated source
BB,SC-C,BB SC-C,01,2017-10-17,0.00654592,-23.337676080682098,-2.331606764119698,falling,-1.361805811732598,falling,9.6,3.2,2.42,0.8,NA,64.4,13.882000000000001,3.8,4.3,5.8,NA,NA,NA,-2.99,0.216408,NA,NA,63.3023122389896,FALSE,-2.872702227563953,0.18706400622870245,non-inundated source
BB,SC-D,BB SC-D,01,2017-10-17,-9.41e-4,-37.3730524364624,-2.365787036069804,falling,-1.5384791454760034,falling,9.6,3.2,2.42,0.8,NA,64.4,13.882000000000001,3.8,4.3,5.8,NA,NA,NA,-1.1253745005609128,0.368808,NA,NA,58.184110596521364,FALSE,-3.0147316235637738,-0.0979933356567658,non-inundated sink
BB,SC-E,BB SC-E,01,2017-10-17,-7.39e-4,-52.538175755393,-2.4284508679784977,falling,-1.862380257338998,falling,9.6,3.2,2.42,0.8,NA,64.4,13.882000000000001,3.8,4.3,5.8,NA,NA,NA,3.0280801384973466,0.5425440000000001,NA,NA,52.653930492215295,FALSE,-3.0106225860491866,-0.09040965516734964,non-inundated sink
BB,SC-C,BB SC-C,02,2017-11-01,0.02697485,-6.26392900666979,-0.15771823672007024,falling,26.508276495443106,rising,11.8,8.3,2.32,0,NA,79.1,15.356000000000002,0,49.5,49.8,NA,NA,NA,-2.99,0.216408,NA,NA,71.24994045318063,FALSE,-2.5642765338581093,0.29990682291495074,non-inundated source
BB,SC-D,BB SC-D,02,2017-11-01,-9.43e-4,-19.8984180185308,-0.798546874763101,falling,26.975845677700395,rising,11.8,8.3,2.32,0,NA,79.1,15.356000000000002,0,49.5,49.8,NA,NA,NA,-1.1253745005609128,0.368808,NA,NA,66.27792814045183,FALSE,-3.0147723916342266,-0.09806271149279336,non-inundated sink
BB,SC-E,BB SC-E,02,2017-11-01,0.01197855,-34.3285812069425,-1.973399377842,falling,27.833055845172304,rising,11.8,8.3,2.32,0,NA,79.1,15.356000000000002,0,49.5,49.8,NA,NA,NA,3.0280801384973466,0.5425440000000001,NA,NA,61.015761807334826,FALSE,-2.780966921539627,0.22880635537059896,non-inundated source
BB,wetland_well,center,02,2017-11-01,0.4864831488,18.97091039998595,-1.5746868712855004,falling,29.8178304506284,rising,11.8,8.3,2.32,0,NA,79.1,15.356000000000002,0,49.5,49.8,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,-0.6227201269107305,0.7864828686120714,inundated
BB,SC-D,BB SC-D,03,2017-11-28,0.35159004,-4.29402188952124,-0.4231785567500497,falling,-1.2368593263649994,falling,7.4,2.8,2.5600000000000005,0,NA,72.6,12.408000000000001,0,0,0,NA,14.2,68.3,-1.1253745005609128,0.368808,0.2502490866323006,73.18517743903257,NA,FALSE,-0.9123235117089753,0.7057954504291574,non-inundated source
