wetland_code,mean_value_g,q05_g,q95_g,modelname2
W1,17374.228489441008,15866.247565914973,18931.437601382884,"Model I 
(Fixed area)"
W1,10186.118914046523,9237.785236164485,11153.846668136446,"Model II 
(Variable area)"
W1,10787.712881830877,9822.006252750234,11763.706789639278,"Model III 
(Variable all sources)"
W1,10784.651486709598,9819.011095469234,11760.827067767108,"Model IV 
(Variable sinks and sources)"
W2,5985.878657084441,5421.229366869176,6584.10132988692,"Model I 
(Fixed area)"
W2,3464.9389258570486,3091.6539542136647,3883.5041125802263,"Model II 
(Variable area)"
W2,3662.817750523037,3282.623321630147,4072.721859642691,"Model III 
(Variable all sources)"
W2,3653.0139008808364,3272.293177977405,4063.194284843469,"Model IV 
(Variable sinks and sources)"
W3,13279.560321471545,11864.850986829704,14705.379903018767,"Model I 
(Fixed area)"
W3,7437.5627603260655,6561.836432544555,8385.291665924167,"Model II 
(Variable area)"
W3,7534.97983391864,6663.891015581547,8476.196948694851,"Model III 
(Variable all sources)"
W3,7526.435611153684,6655.86583198212,8467.889136981048,"Model IV 
(Variable sinks and sources)"
W4,2242.219820664826,2069.5847748912483,2434.748226118044,"Model I 
(Fixed area)"
W4,1605.2526982900658,1470.9648165148903,1743.4678546526777,"Model II 
(Variable area)"
W4,1661.5374257195358,1526.2866742105334,1797.7845681700862,"Model III 
(Variable all sources)"
W4,1658.1142155991627,1522.856147931551,1794.4065927657298,"Model IV 
(Variable sinks and sources)"
W5,2408.387498393583,2281.111500313721,2536.9090110029624,"Model I 
(Fixed area)"
W5,1364.659595025845,1277.3203764675798,1460.2740293793383,"Model II 
(Variable area)"
W5,1657.8865698798224,1531.0742653709437,1801.9912275322795,"Model III 
(Variable all sources)"
W5,1653.5066364280747,1526.7103879159522,1797.5734815627955,"Model IV 
(Variable sinks and sources)"
W6,11610.433439034012,10957.611389865053,12303.807519025255,"Model I 
(Fixed area)"
W6,6937.601703360449,6486.6619737336905,7393.400623014293,"Model II 
(Variable area)"
W6,7310.408705755703,6840.2295906503505,7771.0914003465805,"Model III 
(Variable all sources)"
W6,7303.283144039014,6832.422573520891,7764.17509389048,"Model IV 
(Variable sinks and sources)"
